"video","frame","event_type","crop_path","matched","notes","source"
"AD128.avi","79","before_onset","crops\AD128.avi\ues\event_000_before_onset_frame_79_ues.jpg","True","metadata_exact","input"
"AD128.avi","95","touch_ues","crops\AD128.avi\ues\event_052_touch_ues_frame_95_ues.jpg","True","metadata_exact","input"
"AD128.avi","99","leave_ues","crops\AD128.avi\ues\event_030_leave_ues_frame_99_ues.jpg","True","metadata_exact","input"
"AD128.avi","353","before_onset","crops\AD128.avi\ues\event_001_before_onset_frame_353_ues.jpg","True","metadata_exact","input"
"AD128.avi","370","touch_ues","crops\AD128.avi\ues\event_053_touch_ues_frame_370_ues.jpg","True","metadata_exact","input"
"AD128.avi","385","leave_ues","crops\AD128.avi\ues\event_031_leave_ues_frame_385_ues.jpg","True","metadata_exact","input"
"AD128.avi","547","before_onset","crops\AD128.avi\ues\event_002_before_onset_frame_547_ues.jpg","True","metadata_exact","input"
"AD128.avi","697","before_onset","crops\AD128.avi\ues\event_003_before_onset_frame_697_ues.jpg","True","metadata_exact","input"
"AD128.avi","705","touch_ues","crops\AD128.avi\ues\event_054_touch_ues_frame_705_ues.jpg","True","metadata_exact","input"
"AD128.avi","716","leave_ues","crops\AD128.avi\ues\event_032_leave_ues_frame_716_ues.jpg","True","metadata_exact","input"
"AD128.avi","843","before_onset","crops\AD128.avi\ues\event_004_before_onset_frame_843_ues.jpg","True","metadata_exact","input"
"AD128.avi","858","touch_ues","crops\AD128.avi\ues\event_055_touch_ues_frame_858_ues.jpg","True","metadata_exact","input"
"AD128.avi","879","leave_ues","crops\AD128.avi\ues\event_033_leave_ues_frame_879_ues.jpg","True","metadata_exact","input"
"AD128.avi","1046","before_onset","crops\AD128.avi\ues\event_005_before_onset_frame_1046_ues.jpg","True","metadata_exact","input"
"AD128.avi","1059","touch_ues","crops\AD128.avi\ues\event_056_touch_ues_frame_1059_ues.jpg","True","metadata_exact","input"
"AD128.avi","1086","leave_ues","crops\AD128.avi\ues\event_034_leave_ues_frame_1086_ues.jpg","True","metadata_exact","input"
"AD128.avi","1217","before_onset","crops\AD128.avi\ues\event_006_before_onset_frame_1217_ues.jpg","True","metadata_exact","input"
"AD128.avi","1229","touch_ues","crops\AD128.avi\ues\event_057_touch_ues_frame_1229_ues.jpg","True","metadata_exact","input"
"AD128.avi","1259","leave_ues","crops\AD128.avi\ues\event_035_leave_ues_frame_1259_ues.jpg","True","metadata_exact","input"
"AD128.avi","1293","before_onset","crops\AD128.avi\ues\event_007_before_onset_frame_1293_ues.jpg","True","metadata_exact","input"
"AD128.avi","1309","touch_ues","crops\AD128.avi\ues\event_058_touch_ues_frame_1309_ues.jpg","True","metadata_exact","input"
"AD128.avi","1414","before_onset","crops\AD128.avi\ues\event_008_before_onset_frame_1414_ues.jpg","True","metadata_exact","input"
"AD128.avi","1515","before_onset","crops\AD128.avi\ues\event_009_before_onset_frame_1515_ues.jpg","True","metadata_exact","input"
"AD128.avi","1532","touch_ues","crops\AD128.avi\ues\event_059_touch_ues_frame_1532_ues.jpg","True","metadata_exact","input"
"AD128.avi","1554","leave_ues","crops\AD128.avi\ues\event_036_leave_ues_frame_1554_ues.jpg","True","metadata_exact","input"
"AD128.avi","2038","before_onset","crops\AD128.avi\ues\event_010_before_onset_frame_2038_ues.jpg","True","metadata_exact","input"
"AD128.avi","2215","before_onset","crops\AD128.avi\ues\event_011_before_onset_frame_2215_ues.jpg","True","metadata_exact","input"
"AD128.avi","2229","touch_ues","crops\AD128.avi\ues\event_060_touch_ues_frame_2229_ues.jpg","True","metadata_exact","input"
"AD128.avi","2262","leave_ues","crops\AD128.avi\ues\event_037_leave_ues_frame_2262_ues.jpg","True","metadata_exact","input"
"AD128.avi","2657","before_onset","crops\AD128.avi\ues\event_012_before_onset_frame_2657_ues.jpg","True","metadata_exact","input"
"AD128.avi","2672","touch_ues","crops\AD128.avi\ues\event_061_touch_ues_frame_2672_ues.jpg","True","metadata_exact","input"
"AD128.avi","2774","before_onset","crops\AD128.avi\ues\event_013_before_onset_frame_2774_ues.jpg","True","metadata_exact","input"
"AD128.avi","2958","before_onset","crops\AD128.avi\ues\event_014_before_onset_frame_2958_ues.jpg","True","metadata_exact","input"
"AD128.avi","2971","touch_ues","crops\AD128.avi\ues\event_062_touch_ues_frame_2971_ues.jpg","True","metadata_exact","input"
"AD128.avi","2987","leave_ues","crops\AD128.avi\ues\event_038_leave_ues_frame_2987_ues.jpg","True","metadata_exact","input"
"AD128.avi","3114","before_onset","crops\AD128.avi\ues\event_015_before_onset_frame_3114_ues.jpg","True","metadata_exact","input"
"AD128.avi","3127","touch_ues","crops\AD128.avi\ues\event_063_touch_ues_frame_3127_ues.jpg","True","metadata_exact","input"
"AD128.avi","3150","leave_ues","crops\AD128.avi\ues\event_039_leave_ues_frame_3150_ues.jpg","True","metadata_exact","input"
"AD128.avi","3229","before_onset","crops\AD128.avi\ues\event_016_before_onset_frame_3229_ues.jpg","True","metadata_exact","input"
"AD128.avi","3249","touch_ues","crops\AD128.avi\ues\event_064_touch_ues_frame_3249_ues.jpg","True","metadata_exact","input"
"AD128.avi","3265","leave_ues","crops\AD128.avi\ues\event_040_leave_ues_frame_3265_ues.jpg","True","metadata_exact","input"
"AD128.avi","3463","before_onset","crops\AD128.avi\ues\event_017_before_onset_frame_3463_ues.jpg","True","metadata_exact","input"
"AD128.avi","3477","touch_ues","crops\AD128.avi\ues\event_065_touch_ues_frame_3477_ues.jpg","True","metadata_exact","input"
"AD128.avi","3499","leave_ues","crops\AD128.avi\ues\event_041_leave_ues_frame_3499_ues.jpg","True","metadata_exact","input"
"AD128.avi","3605","before_onset","crops\AD128.avi\ues\event_018_before_onset_frame_3605_ues.jpg","True","metadata_exact","input"
"AD128.avi","3618","touch_ues","crops\AD128.avi\ues\event_066_touch_ues_frame_3618_ues.jpg","True","metadata_exact","input"
"AD128.avi","3645","leave_ues","crops\AD128.avi\ues\event_042_leave_ues_frame_3645_ues.jpg","True","metadata_exact","input"
"AD128.avi","3736","before_onset","crops\AD128.avi\ues\event_019_before_onset_frame_3736_ues.jpg","True","metadata_exact","input"
"AD128.avi","3756","touch_ues","crops\AD128.avi\ues\event_067_touch_ues_frame_3756_ues.jpg","True","metadata_exact","input"
"AD128.avi","3854","before_onset","crops\AD128.avi\ues\event_020_before_onset_frame_3854_ues.jpg","True","metadata_exact","input"
"AD128.avi","3873","touch_ues","crops\AD128.avi\ues\event_068_touch_ues_frame_3873_ues.jpg","True","metadata_exact","input"
"AD128.avi","3899","leave_ues","crops\AD128.avi\ues\event_043_leave_ues_frame_3899_ues.jpg","True","metadata_exact","input"
"AD128.avi","3967","before_onset","crops\AD128.avi\ues\event_021_before_onset_frame_3967_ues.jpg","True","metadata_exact","input"
"AD128.avi","3984","touch_ues","crops\AD128.avi\ues\event_069_touch_ues_frame_3984_ues.jpg","True","metadata_exact","input"
"AD128.avi","4013","leave_ues","crops\AD128.avi\ues\event_044_leave_ues_frame_4013_ues.jpg","True","metadata_exact","input"
"AD128.avi","4029","before_onset","crops\AD128.avi\ues\event_022_before_onset_frame_4029_ues.jpg","True","metadata_exact","input"
"AD128.avi","4050","touch_ues","crops\AD128.avi\ues\event_070_touch_ues_frame_4050_ues.jpg","True","metadata_exact","input"
"AD128.avi","4083","leave_ues","crops\AD128.avi\ues\event_045_leave_ues_frame_4083_ues.jpg","True","metadata_exact","input"
"AD128.avi","4082","before_onset","crops\AD128.avi\ues\event_023_before_onset_frame_4082_ues.jpg","True","metadata_exact","input"
"AD128.avi","4102","touch_ues","crops\AD128.avi\ues\event_071_touch_ues_frame_4102_ues.jpg","True","metadata_exact","input"
"AD128.avi","4122","leave_ues","crops\AD128.avi\ues\event_046_leave_ues_frame_4122_ues.jpg","True","metadata_exact","input"
"AD128.avi","4153","before_onset","crops\AD128.avi\ues\event_024_before_onset_frame_4153_ues.jpg","True","metadata_exact","input"
"AD128.avi","4563","before_onset","crops\AD128.avi\ues\event_025_before_onset_frame_4563_ues.jpg","True","metadata_exact","input"
"AD128.avi","4575","touch_ues","crops\AD128.avi\ues\event_072_touch_ues_frame_4575_ues.jpg","True","metadata_exact","input"
"AD128.avi","4580","leave_ues","crops\AD128.avi\ues\event_047_leave_ues_frame_4580_ues.jpg","True","metadata_exact","input"
"AD128.avi","4921","before_onset","crops\AD128.avi\ues\event_026_before_onset_frame_4921_ues.jpg","True","metadata_exact","input"
"AD128.avi","4936","touch_ues","crops\AD128.avi\ues\event_073_touch_ues_frame_4936_ues.jpg","True","metadata_exact","input"
"AD128.avi","4947","leave_ues","crops\AD128.avi\ues\event_048_leave_ues_frame_4947_ues.jpg","True","metadata_exact","input"
"AD128.avi","5065","before_onset","crops\AD128.avi\ues\event_027_before_onset_frame_5065_ues.jpg","True","metadata_exact","input"
"AD128.avi","5080","touch_ues","crops\AD128.avi\ues\event_074_touch_ues_frame_5080_ues.jpg","True","metadata_exact","input"
"AD128.avi","5096","leave_ues","crops\AD128.avi\ues\event_049_leave_ues_frame_5096_ues.jpg","True","metadata_exact","input"
"AD128.avi","5343","before_onset","crops\AD128.avi\ues\event_028_before_onset_frame_5343_ues.jpg","True","metadata_exact","input"
"AD128.avi","5361","touch_ues","crops\AD128.avi\ues\event_075_touch_ues_frame_5361_ues.jpg","True","metadata_exact","input"
"AD128.avi","5380","leave_ues","crops\AD128.avi\ues\event_050_leave_ues_frame_5380_ues.jpg","True","metadata_exact","input"
"AD128.avi","5714","before_onset","crops\AD128.avi\ues\event_029_before_onset_frame_5714_ues.jpg","True","metadata_exact","input"
"AD128.avi","5727","touch_ues","crops\AD128.avi\ues\event_076_touch_ues_frame_5727_ues.jpg","True","metadata_exact","input"
"AD128.avi","5746","leave_ues","crops\AD128.avi\ues\event_051_leave_ues_frame_5746_ues.jpg","True","metadata_exact","input"
"AD146.avi","580","before_onset","crops\AD146.avi\ues\event_000_before_onset_frame_580_ues.jpg","True","metadata_exact","input"
"AD146.avi","607","leave_ues","crops\AD146.avi\ues\event_014_leave_ues_frame_607_ues.jpg","True","metadata_exact","input"
"AD146.avi","738","before_onset","crops\AD146.avi\ues\event_001_before_onset_frame_738_ues.jpg","True","metadata_exact","input"
"AD146.avi","753","touch_ues","crops\AD146.avi\ues\event_025_touch_ues_frame_753_ues.jpg","True","metadata_exact","input"
"AD146.avi","781","leave_ues","crops\AD146.avi\ues\event_015_leave_ues_frame_781_ues.jpg","True","metadata_exact","input"
"AD146.avi","942","before_onset","crops\AD146.avi\ues\event_002_before_onset_frame_942_ues.jpg","True","metadata_exact","input"
"AD146.avi","1043","touch_ues","crops\AD146.avi\ues\event_026_touch_ues_frame_1043_ues.jpg","True","metadata_exact","input"
"AD146.avi","1081","leave_ues","crops\AD146.avi\ues\event_016_leave_ues_frame_1081_ues.jpg","True","metadata_exact","input"
"AD146.avi","1208","before_onset","crops\AD146.avi\ues\event_003_before_onset_frame_1208_ues.jpg","True","metadata_exact","input"
"AD146.avi","1221","touch_ues","crops\AD146.avi\ues\event_027_touch_ues_frame_1221_ues.jpg","True","metadata_exact","input"
"AD146.avi","1315","before_onset","crops\AD146.avi\ues\event_004_before_onset_frame_1315_ues.jpg","True","metadata_exact","input"
