video,before_onset,touch_ues,leave_ues
AD128.avi,79,95,99
AD128.avi,353,370,385
AD128.avi,547,,
AD128.avi,697,705,716
AD128.avi,843,858,879
AD128.avi,1046,1059,1086
AD128.avi,1217,1229,1259
AD128.avi,1293,1309,
AD128.avi,1414,,
AD128.avi,1515,1532,1554
AD128.avi,2038,,
AD128.avi,2215,2229,2262
AD128.avi,2657,2672,
AD128.avi,2774,,
AD128.avi,2958,2971,2987
AD128.avi,3114,3127,3150
AD128.avi,3229,3249,3265
AD128.avi,3463,3477,3499
AD128.avi,3605,3618,3645
AD128.avi,3736,3756,
AD128.avi,3854,3873,3899
AD128.avi,3967,3984,4013
AD128.avi,4029,4050,4083
AD128.avi,4082,4102,4122
AD128.avi,4153,,
AD128.avi,4563,4575,4580
AD128.avi,4921,4936,4947
AD128.avi,5065,5080,5096
AD128.avi,5343,5361,5380
AD128.avi,5714,5727,5746
AD146.avi,580,,607
AD146.avi,738,753,781
AD146.avi,942,,
AD146.avi,,1043,1081
AD146.avi,1208,1221,
AD146.avi,1315,1329,1357
AD146.avi,1430,1446,1467
AD146.avi,2005,2020,
AD146.avi,2366,2389,2409
AD146.avi,2649,2663,2696
AD146.avi,3237,3253,3274
AD146.avi,3416,3431,3462
AD146.avi,3673,3693,
AD146.avi,3930,3944,3971
AD146.avi,4172,4205,4223
AD151.avi,436,451,462
AD151.avi,731,744,768
AD151.avi,940,952,984
AD151.avi,1135,1148,1175
AD151.avi,1272,1288,
AD151.avi,1367,,
AD151.avi,1410,1432,1471
AD151.avi,1554,1569,
AD151.avi,1773,1794,1835
AD151.avi,1913,1954,1985
AD151.avi,2052,2066,2119
AD151.avi,2258,2274,2313
AD151.avi,2386,,
AD162.avi,349,365,399
AD162.avi,723,734,745
AD162.avi,947,,
AD162.avi,1100,1119,1135
AD162.avi,1591,1596,1611
AD162.avi,1889,1908,1923
AD162.avi,2061,2071,2091
AD162.avi,2275,2290,2317
AD162.avi,2413,2427,2460
AD162.avi,2558,,
AD162.avi,2670,2692,2719
AD162.avi,2850,2877,
AD162.avi,3051,3065,3072
AD162.avi,3233,3249,3267
AD162.avi,3448,3473,
AD162.avi,3537,3550,3569
AD162.avi,3735,,
AD169.avi,55,,
AD169.avi,232,244,259
AD169.avi,573,583,608
AD169.avi,732,750,782
AD169.avi,849,866,
AD169.avi,926,941,975
AD169.avi,,1151,1168
AD169.avi,1308,1327,1353
AD169.avi,1591,1605,1623
AD169.avi,1785,1799,1826
AD169.avi,1957,,
AD169.avi,2340,,2368
AD169.avi,2456,2471,2495
AD169.avi,2614,2633,2650
AD169.avi,2811,2836,2855
AD169.avi,3048,3062,3078
AD169.avi,3246,3271,3290
AD169.avi,3364,,
AD169.avi,3466,,
AD169.avi,3520,3542,3557
AD169.avi,,3645,3665
AD169.avi,3863,3878,3940
AD169.avi,4023,,
AD169.avi,4295,4313,4329
AD169.avi,4408,4422,4440
AD169.avi,4647,4661,4682
AD169.avi,5187,5201,5221
AD169.avi,5406,5420,5449
AD169.avi,5790,5807,5830
AD169.avi,5970,5981,5995
AD169.avi,6517,6530,6548
AD175.avi,281,292,311
AD175.avi,548,,
AD175.avi,,594,620
AD175.avi,714,726,761
AD175.avi,815,837,896
AD175.avi,926,967,
AD175.avi,1027,,
AD175.avi,1269,1284,1309
AD175.avi,1388,,
AD175.avi,1579,1594,1605
AD175.avi,2108,2118,2137
AD175.avi,2344,,
AD175.avi,2512,2526,2536
AD175.avi,2709,2722,2743
AD175.avi,,3056,3063
AD175.avi,3169,,
AD175.avi,3368,,
AD175.avi,3862,3875,3886
AD175.avi,4386,4406,4418
AD175.avi,4577,4601,4611
AD175.avi,4719,4733,4749
AD175.avi,4904,4926,4940
AD175.avi,5156,5185,5198
AD175.avi,5353,5378,5391
AD217.avi,283,303,322
AD217.avi,,600,617
AD217.avi,1273,1302,1316
AD217.avi,1458,1472,1504
AD217.avi,1720,1749,1773
AD217.avi,1934,1948,1991
AD217.avi,2085,2100,2132
AD217.avi,2465,2481,2498
AD228.avi,,298,314
AD228.avi,444,460,483
AD228.avi,614,,
AD228.avi,,,745
AD228.avi,832,851,873
AD228.avi,955,973,997
AD228.avi,1160,1178,
AD228.avi,1427,1439,1452
AD228.avi,2015,2037,2055
AD228.avi,2207,2220,2257
AD228.avi,2378,2395,2403
AD228.avi,2565,2578,2588
AD228.avi,2755,2777,2798
AD228.avi,2872,,
AD228.avi,,,2937
AD228.avi,2978,2989,3016
AD228.avi,3104,,
AD228.avi,3233,3259,3274
AD228.avi,3383,3397,3425
AD228.avi,,3465,3483
AD228.avi,3612,3635,3652
AD228.avi,3788,3808,
AD228.avi,3904,3924,3943
AD228.avi,4702,4715,4727
AD228.avi,4932,4955,4964
AD228.avi,5097,5118,5136
AD228.avi,5205,,
AD228.avi,,,5264
AD228.avi,5607,5616,5624
AD228.avi,5733,5742,5757
AD228.avi,,,6013
AD235.avi,584,,
AD235.avi,1804,1826,1839
AD235.avi,2053,2068,2091
AD235.avi,2306,2322,2361
AD235.avi,2476,2488,2566
AD235.avi,,2694,
AD235.avi,2965,2978,3016
AD235.avi,3200,3220,3282
AD235.avi,3335,3375,3411
AD235.avi,3481,3512,
AD235.avi,3982,3997,4012
AD235.avi,4244,4262,4285
AD235.avi,4524,4540,4582
AD238.avi,159,171,180
AD238.avi,313,323,345
AD238.avi,520,,
AD238.avi,647,659,678
AD238.avi,785,,
AD238.avi,878,905,923
AD238.avi,1023,,
AD238.avi,2093,2109,2125
AD238.avi,2257,2270,2291
AD238.avi,2471,2484,2523
AD238.avi,2754,2767,2776
AD238.avi,2946,2959,2975
AD238.avi,3216,3230,3251
AD238.avi,3408,3420,3449
AD238.avi,3653,3667,3687
AD238.avi,3770,3788,3816
AD238.avi,3924,3938,
AD238.avi,4103,4115,4130
AD238.avi,4219,4231,4263
AD238.avi,4463,4478,4483
AD238.avi,4708,4722,4738
AD238.avi,4914,4926,4947
AD238.avi,5034,,
AD243.avi,157,171,186
AD243.avi,285,304,320
AD243.avi,518,537,556
AD243.avi,629,644,675
AD243.avi,742,760,787
AD243.avi,865,876,911
AD243.avi,1367,1379,1391
AD243.avi,1513,1526,1539
AD243.avi,1626,,
AD243.avi,2128,2138,2151
AD243.avi,2286,2296,2318
AD243.avi,2414,2427,2462
AD243.avi,2475,2488,2504
AD243.avi,2607,2622,2655
AD243.avi,2727,2740,2766
AD243.avi,2813,2833,
AD256.avi,41,55,68
AD256.avi,156,175,194
AD256.avi,297,307,358
AD256.avi,389,424,465
AD256.avi,481,494,
AD256.avi,519,,
AD256.avi,560,,
AD256.avi,647,,
AD256.avi,741,756,779
AD256.avi,872,886,916
AD256.avi,979,1001,1019
AD256.avi,1062,1087,1119
AD256.avi,1148,1160,
AD256.avi,1359,1370,1385
AD256.avi,1504,1517,1541
AD256.avi,1617,1631,1667
AD256.avi,1726,1739,1775
AD256.avi,1836,1846,1875
AD256.avi,1972,1985,2006
AD256.avi,2272,2284,2303
AD256.avi,2511,2523,2544
AD256.avi,2949,2960,2973
AD256.avi,3092,3106,3123
AD256.avi,3370,3392,3399
AD256.avi,3515,3527,3545
AD256.avi,3608,3620,3638
AD256.avi,3692,3714,3744
AD256.avi,3773,3784,3814
AD256.avi,3831,3843,
AD256.avi,3905,3918,3967
AD256.avi,3998,4022,4045
AD256.avi,4141,4153,4174
AD256.avi,4247,4273,
AD256.avi,,4360,4379
AD256.avi,4453,4469,4490
AD256.avi,4555,4580,4606
AD256.avi,4714,4728,4637
AD256.avi,4858,4873,4889
AD256.avi,4968,4983,5006
AD256.avi,5139,5152,5183
AD276.avi,773,785,800
AD276.avi,1081,1095,1141
AD276.avi,,,1205
