video,frame,label,xc,yc,w,h,width,height,filepath,split
AD128.avi,79,0,0.240258,0.566881,0.121671,0.139710,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,80,1,0.246247,0.569381,0.122152,0.140449,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,95,0,0.260646,0.574647,0.122594,0.141383,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,103,0,0.295156,0.566605,0.123304,0.142305,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,353,0,0.289904,0.620362,0.116703,0.134453,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,354,1,0.287274,0.624146,0.119408,0.136822,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,370,0,0.275161,0.647952,0.122848,0.139864,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,417,0,0.268010,0.648539,0.122294,0.139041,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,418,0,0.275083,0.649044,0.121281,0.138830,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,462,0,0.285847,0.693817,0.123765,0.141989,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,467,0,0.282705,0.705273,0.123150,0.141013,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,547,0,0.548822,0.351790,0.121784,0.140917,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,548,1,0.557755,0.340939,0.122045,0.140263,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,697,0,0.236060,0.530407,0.120442,0.138692,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,698,1,0.244580,0.529534,0.120988,0.138779,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,705,0,0.242730,0.526574,0.122894,0.140198,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,761,0,0.279263,0.490509,0.123866,0.142642,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,843,0,0.422735,0.309923,0.125422,0.144823,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,844,1,0.428410,0.304694,0.125522,0.144845,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,858,0,0.387126,0.277167,0.121957,0.141084,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,936,0,0.313535,0.519589,0.120075,0.139276,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,1011,0,0.388642,0.396417,0.123698,0.142799,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,1046,0,0.372689,0.306323,0.122379,0.141348,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,1047,1,0.369292,0.321788,0.120824,0.139320,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,1059,0,0.317718,0.488690,0.123866,0.142651,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,1117,0,0.264438,0.536439,0.125630,0.143022,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,1127,0,0.291393,0.549429,0.122221,0.141784,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,1128,0,0.293874,0.550154,0.122156,0.141378,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,1217,0,0.436426,0.491533,0.122943,0.143156,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,1218,1,0.440785,0.487350,0.123732,0.143476,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,1229,0,0.420160,0.482052,0.121980,0.140158,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,1293,0,0.402401,0.510867,0.121142,0.139051,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,1294,1,0.402879,0.521128,0.121914,0.139422,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,1309,0,0.362201,0.655254,0.118152,0.137442,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,1414,0,0.348417,0.731464,0.115069,0.132456,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,1415,1,0.348325,0.732037,0.114498,0.132083,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,1452,0,0.346900,0.706088,0.118125,0.136066,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,1494,0,0.410578,0.508641,0.125125,0.142657,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,1514,0,0.413757,0.498133,0.120862,0.140258,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,1515,0,0.414297,0.496570,0.120603,0.139658,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,1516,1,0.417259,0.496804,0.120741,0.139348,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,1532,0,0.388884,0.582066,0.117943,0.136694,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,1735,0,0.310724,0.735885,0.128112,0.146604,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,1790,0,0.357462,0.576535,0.124558,0.142865,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,1860,0,0.267182,0.692559,0.122178,0.140492,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,2038,0,0.312757,0.618459,0.126122,0.144381,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,2039,1,0.310951,0.620473,0.125957,0.143821,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,2088,0,0.233371,0.638874,0.128598,0.150606,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,2169,0,0.341175,0.485400,0.125039,0.143451,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,2215,0,0.380980,0.369666,0.123450,0.142582,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,2216,1,0.384740,0.362986,0.124305,0.143049,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,2229,0,0.342163,0.362269,0.121227,0.139113,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,2267,0,0.235169,0.083387,0.114555,0.132405,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,2370,0,0.244089,0.664189,0.127622,0.148910,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,2512,0,0.609075,0.148457,0.121464,0.140487,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,2522,0,0.636450,0.129044,0.119781,0.137837,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
AD128.avi,2554,0,0.689619,0.121727,0.120616,0.135082,1024,896,\\research.drive.wisc.edu\npconnor\ADStudy\VF AD Blinded\Early Tongue Training\AD128.avi,train
