frame,event_type,crop_path,matched,notes,source
46,before_onset,crops\AD290.avi\ues\event_000_before_onset_frame_46_ues.jpg,True,metadata_exact,input
71,touch_ues,crops\AD290.avi\ues\event_045_touch_ues_frame_71_ues.jpg,True,metadata_exact,input
160,before_onset,crops\AD290.avi\ues\event_001_before_onset_frame_160_ues.jpg,True,metadata_exact,input
263,before_onset,crops\AD290.avi\ues\event_002_before_onset_frame_263_ues.jpg,True,metadata_exact,input
276,touch_ues,crops\AD290.avi\ues\event_046_touch_ues_frame_276_ues.jpg,True,metadata_exact,input
305,leave_ues,crops\AD290.avi\ues\event_026_leave_ues_frame_305_ues.jpg,True,metadata_exact,input
374,before_onset,crops\AD290.avi\ues\event_003_before_onset_frame_374_ues.jpg,True,metadata_exact,input
386,touch_ues,crops\AD290.avi\ues\event_047_touch_ues_frame_386_ues.jpg,True,metadata_exact,input
428,leave_ues,crops\AD290.avi\ues\event_027_leave_ues_frame_428_ues.jpg,True,metadata_exact,input
513,before_onset,crops\AD290.avi\ues\event_004_before_onset_frame_513_ues.jpg,True,metadata_exact,input
528,touch_ues,crops\AD290.avi\ues\event_048_touch_ues_frame_528_ues.jpg,True,metadata_exact,input
559,leave_ues,crops\AD290.avi\ues\event_028_leave_ues_frame_559_ues.jpg,True,metadata_exact,input
910,before_onset,crops\AD290.avi\ues\event_005_before_onset_frame_910_ues.jpg,True,metadata_exact,input
923,touch_ues,crops\AD290.avi\ues\event_049_touch_ues_frame_923_ues.jpg,True,metadata_exact,input
934,leave_ues,crops\AD290.avi\ues\event_029_leave_ues_frame_934_ues.jpg,True,metadata_exact,input
1587,before_onset,crops\AD290.avi\ues\event_006_before_onset_frame_1587_ues.jpg,True,metadata_exact,input
1605,touch_ues,crops\AD290.avi\ues\event_050_touch_ues_frame_1605_ues.jpg,True,metadata_exact,input
1623,leave_ues,crops\AD290.avi\ues\event_030_leave_ues_frame_1623_ues.jpg,True,metadata_exact,input
1765,before_onset,crops\AD290.avi\ues\event_007_before_onset_frame_1765_ues.jpg,True,metadata_exact,input
1777,touch_ues,crops\AD290.avi\ues\event_051_touch_ues_frame_1777_ues.jpg,True,metadata_exact,input
2241,before_onset,crops\AD290.avi\ues\event_008_before_onset_frame_2241_ues.jpg,True,metadata_exact,input
2254,touch_ues,crops\AD290.avi\ues\event_052_touch_ues_frame_2254_ues.jpg,True,metadata_exact,input
2273,leave_ues,crops\AD290.avi\ues\event_031_leave_ues_frame_2273_ues.jpg,True,metadata_exact,input
2615,before_onset,crops\AD290.avi\ues\event_009_before_onset_frame_2615_ues.jpg,True,metadata_exact,input
2785,before_onset,crops\AD290.avi\ues\event_010_before_onset_frame_2785_ues.jpg,True,metadata_exact,input
2798,touch_ues,crops\AD290.avi\ues\event_053_touch_ues_frame_2798_ues.jpg,True,metadata_exact,input
2807,leave_ues,crops\AD290.avi\ues\event_032_leave_ues_frame_2807_ues.jpg,True,metadata_exact,input
3091,before_onset,crops\AD290.avi\ues\event_011_before_onset_frame_3091_ues.jpg,True,metadata_exact,input
3102,touch_ues,crops\AD290.avi\ues\event_054_touch_ues_frame_3102_ues.jpg,True,metadata_exact,input
3121,leave_ues,crops\AD290.avi\ues\event_033_leave_ues_frame_3121_ues.jpg,True,metadata_exact,input
3481,before_onset,crops\AD290.avi\ues\event_012_before_onset_frame_3481_ues.jpg,True,metadata_exact,input
3600,before_onset,crops\AD290.avi\ues\event_013_before_onset_frame_3600_ues.jpg,True,metadata_exact,input
3618,touch_ues,crops\AD290.avi\ues\event_055_touch_ues_frame_3618_ues.jpg,True,metadata_exact,input
3642,leave_ues,crops\AD290.avi\ues\event_034_leave_ues_frame_3642_ues.jpg,True,metadata_exact,input
3753,before_onset,crops\AD290.avi\ues\event_014_before_onset_frame_3753_ues.jpg,True,metadata_exact,input
3945,before_onset,crops\AD290.avi\ues\event_015_before_onset_frame_3945_ues.jpg,True,metadata_exact,input
4195,before_onset,crops\AD290.avi\ues\event_016_before_onset_frame_4195_ues.jpg,True,metadata_exact,input
4208,touch_ues,crops\AD290.avi\ues\event_056_touch_ues_frame_4208_ues.jpg,True,metadata_exact,input
4227,leave_ues,crops\AD290.avi\ues\event_035_leave_ues_frame_4227_ues.jpg,True,metadata_exact,input
4489,before_onset,crops\AD290.avi\ues\event_017_before_onset_frame_4489_ues.jpg,True,metadata_exact,input
4511,touch_ues,crops\AD290.avi\ues\event_057_touch_ues_frame_4511_ues.jpg,True,metadata_exact,input
4530,leave_ues,crops\AD290.avi\ues\event_036_leave_ues_frame_4530_ues.jpg,True,metadata_exact,input
4575,touch_ues,crops\AD290.avi\ues\event_058_touch_ues_frame_4575_ues.jpg,True,metadata_exact,input
4592,leave_ues,crops\AD290.avi\ues\event_037_leave_ues_frame_4592_ues.jpg,True,metadata_exact,input
4678,before_onset,crops\AD290.avi\ues\event_018_before_onset_frame_4678_ues.jpg,True,metadata_exact,input
4699,touch_ues,crops\AD290.avi\ues\event_059_touch_ues_frame_4699_ues.jpg,True,metadata_exact,input
4714,leave_ues,crops\AD290.avi\ues\event_038_leave_ues_frame_4714_ues.jpg,True,metadata_exact,input
4828,before_onset,crops\AD290.avi\ues\event_019_before_onset_frame_4828_ues.jpg,True,metadata_exact,input
4844,touch_ues,crops\AD290.avi\ues\event_060_touch_ues_frame_4844_ues.jpg,True,metadata_exact,input
4859,leave_ues,crops\AD290.avi\ues\event_039_leave_ues_frame_4859_ues.jpg,True,metadata_exact,input
5005,before_onset,crops\AD290.avi\ues\event_020_before_onset_frame_5005_ues.jpg,True,metadata_exact,input
5017,touch_ues,crops\AD290.avi\ues\event_061_touch_ues_frame_5017_ues.jpg,True,metadata_exact,input
5037,leave_ues,crops\AD290.avi\ues\event_040_leave_ues_frame_5037_ues.jpg,True,metadata_exact,input
5519,before_onset,crops\AD290.avi\ues\event_021_before_onset_frame_5519_ues.jpg,True,metadata_exact,input
5532,touch_ues,crops\AD290.avi\ues\event_062_touch_ues_frame_5532_ues.jpg,True,metadata_exact,input
5546,leave_ues,crops\AD290.avi\ues\event_041_leave_ues_frame_5546_ues.jpg,True,metadata_exact,input
5701,before_onset,crops\AD290.avi\ues\event_022_before_onset_frame_5701_ues.jpg,True,metadata_exact,input
5713,touch_ues,crops\AD290.avi\ues\event_063_touch_ues_frame_5713_ues.jpg,True,metadata_exact,input
5727,leave_ues,crops\AD290.avi\ues\event_042_leave_ues_frame_5727_ues.jpg,True,metadata_exact,input
5936,before_onset,crops\AD290.avi\ues\event_023_before_onset_frame_5936_ues.jpg,True,metadata_exact,input
5949,touch_ues,crops\AD290.avi\ues\event_064_touch_ues_frame_5949_ues.jpg,True,metadata_exact,input
5969,leave_ues,crops\AD290.avi\ues\event_043_leave_ues_frame_5969_ues.jpg,True,metadata_exact,input
6139,before_onset,crops\AD290.avi\ues\event_024_before_onset_frame_6139_ues.jpg,True,metadata_exact,input
6153,touch_ues,crops\AD290.avi\ues\event_065_touch_ues_frame_6153_ues.jpg,True,metadata_exact,input
6435,before_onset,crops\AD290.avi\ues\event_025_before_onset_frame_6435_ues.jpg,True,metadata_exact,input
6447,touch_ues,crops\AD290.avi\ues\event_066_touch_ues_frame_6447_ues.jpg,True,metadata_exact,input
6461,leave_ues,crops\AD290.avi\ues\event_044_leave_ues_frame_6461_ues.jpg,True,metadata_exact,input
