frame,event_type,crop_path,matched,notes,source
268,before_onset,crops\AD317A.avi\ues\event_000_before_onset_frame_268_ues.jpg,True,metadata_exact,input
311,touch_ues,crops\AD317A.avi\ues\event_026_touch_ues_frame_311_ues.jpg,True,metadata_exact,input
316,leave_ues,crops\AD317A.avi\ues\event_014_leave_ues_frame_316_ues.jpg,True,metadata_exact,input
598,before_onset,crops\AD317A.avi\ues\event_001_before_onset_frame_598_ues.jpg,True,metadata_exact,input
616,touch_ues,crops\AD317A.avi\ues\event_027_touch_ues_frame_616_ues.jpg,True,metadata_exact,input
634,leave_ues,crops\AD317A.avi\ues\event_015_leave_ues_frame_634_ues.jpg,True,metadata_exact,input
767,before_onset,crops\AD317A.avi\ues\event_002_before_onset_frame_767_ues.jpg,True,metadata_exact,input
780,touch_ues,crops\AD317A.avi\ues\event_028_touch_ues_frame_780_ues.jpg,True,metadata_exact,input
802,leave_ues,crops\AD317A.avi\ues\event_016_leave_ues_frame_802_ues.jpg,True,metadata_exact,input
1021,before_onset,crops\AD317A.avi\ues\event_003_before_onset_frame_1021_ues.jpg,True,metadata_exact,input
1046,touch_ues,crops\AD317A.avi\ues\event_029_touch_ues_frame_1046_ues.jpg,True,metadata_exact,input
1056,leave_ues,crops\AD317A.avi\ues\event_017_leave_ues_frame_1056_ues.jpg,True,metadata_exact,input
1171,before_onset,crops\AD317A.avi\ues\event_004_before_onset_frame_1171_ues.jpg,True,metadata_exact,input
1184,touch_ues,crops\AD317A.avi\ues\event_030_touch_ues_frame_1184_ues.jpg,True,metadata_exact,input
1211,leave_ues,crops\AD317A.avi\ues\event_018_leave_ues_frame_1211_ues.jpg,True,metadata_exact,input
1390,before_onset,crops\AD317A.avi\ues\event_005_before_onset_frame_1390_ues.jpg,True,metadata_exact,input
1402,touch_ues,crops\AD317A.avi\ues\event_031_touch_ues_frame_1402_ues.jpg,True,metadata_exact,input
1444,leave_ues,crops\AD317A.avi\ues\event_019_leave_ues_frame_1444_ues.jpg,True,metadata_exact,input
1666,before_onset,crops\AD317A.avi\ues\event_006_before_onset_frame_1666_ues.jpg,True,metadata_exact,input
1682,touch_ues,crops\AD317A.avi\ues\event_032_touch_ues_frame_1682_ues.jpg,True,metadata_exact,input
1691,leave_ues,crops\AD317A.avi\ues\event_020_leave_ues_frame_1691_ues.jpg,True,metadata_exact,input
1850,before_onset,crops\AD317A.avi\ues\event_007_before_onset_frame_1850_ues.jpg,True,metadata_exact,input
1875,touch_ues,crops\AD317A.avi\ues\event_033_touch_ues_frame_1875_ues.jpg,True,metadata_exact,input
1893,leave_ues,crops\AD317A.avi\ues\event_021_leave_ues_frame_1893_ues.jpg,True,metadata_exact,input
2029,before_onset,crops\AD317A.avi\ues\event_008_before_onset_frame_2029_ues.jpg,True,metadata_exact,input
2049,touch_ues,crops\AD317A.avi\ues\event_034_touch_ues_frame_2049_ues.jpg,True,metadata_exact,input
2070,leave_ues,crops\AD317A.avi\ues\event_022_leave_ues_frame_2070_ues.jpg,True,metadata_exact,input
2343,before_onset,crops\AD317A.avi\ues\event_009_before_onset_frame_2343_ues.jpg,True,metadata_exact,input
2360,touch_ues,crops\AD317A.avi\ues\event_035_touch_ues_frame_2360_ues.jpg,True,metadata_exact,input
2377,leave_ues,crops\AD317A.avi\ues\event_023_leave_ues_frame_2377_ues.jpg,True,metadata_exact,input
2574,before_onset,crops\AD317A.avi\ues\event_010_before_onset_frame_2574_ues.jpg,True,metadata_exact,input
2593,touch_ues,crops\AD317A.avi\ues\event_036_touch_ues_frame_2593_ues.jpg,True,metadata_exact,input
2860,before_onset,crops\AD317A.avi\ues\event_011_before_onset_frame_2860_ues.jpg,True,metadata_exact,input
2882,leave_ues,crops\AD317A.avi\ues\event_024_leave_ues_frame_2882_ues.jpg,True,metadata_exact,input
3084,before_onset,crops\AD317A.avi\ues\event_012_before_onset_frame_3084_ues.jpg,True,metadata_exact,input
3379,before_onset,crops\AD317A.avi\ues\event_013_before_onset_frame_3379_ues.jpg,True,metadata_exact,input
3399,touch_ues,crops\AD317A.avi\ues\event_037_touch_ues_frame_3399_ues.jpg,True,metadata_exact,input
3413,leave_ues,crops\AD317A.avi\ues\event_025_leave_ues_frame_3413_ues.jpg,True,metadata_exact,input
