frame,event_type,crop_path,matched,notes,source
144,before_onset,crops\AD435B.avi\ues\event_000_before_onset_frame_144_ues.jpg,True,metadata_exact,input
156,touch_ues,crops\AD435B.avi\ues\event_022_touch_ues_frame_156_ues.jpg,True,metadata_exact,input
175,leave_ues,crops\AD435B.avi\ues\event_011_leave_ues_frame_175_ues.jpg,True,metadata_exact,input
397,before_onset,crops\AD435B.avi\ues\event_001_before_onset_frame_397_ues.jpg,True,metadata_exact,input
407,touch_ues,crops\AD435B.avi\ues\event_023_touch_ues_frame_407_ues.jpg,True,metadata_exact,input
429,leave_ues,crops\AD435B.avi\ues\event_012_leave_ues_frame_429_ues.jpg,True,metadata_exact,input
640,before_onset,crops\AD435B.avi\ues\event_002_before_onset_frame_640_ues.jpg,True,metadata_exact,input
652,touch_ues,crops\AD435B.avi\ues\event_024_touch_ues_frame_652_ues.jpg,True,metadata_exact,input
665,leave_ues,crops\AD435B.avi\ues\event_013_leave_ues_frame_665_ues.jpg,True,metadata_exact,input
832,before_onset,crops\AD435B.avi\ues\event_003_before_onset_frame_832_ues.jpg,True,metadata_exact,input
846,touch_ues,crops\AD435B.avi\ues\event_025_touch_ues_frame_846_ues.jpg,True,metadata_exact,input
863,leave_ues,crops\AD435B.avi\ues\event_014_leave_ues_frame_863_ues.jpg,True,metadata_exact,input
1215,before_onset,crops\AD435B.avi\ues\event_004_before_onset_frame_1215_ues.jpg,True,metadata_exact,input
1230,touch_ues,crops\AD435B.avi\ues\event_026_touch_ues_frame_1230_ues.jpg,True,metadata_exact,input
1248,leave_ues,crops\AD435B.avi\ues\event_015_leave_ues_frame_1248_ues.jpg,True,metadata_exact,input
1460,before_onset,crops\AD435B.avi\ues\event_005_before_onset_frame_1460_ues.jpg,True,metadata_exact,input
1473,touch_ues,crops\AD435B.avi\ues\event_027_touch_ues_frame_1473_ues.jpg,True,metadata_exact,input
1494,leave_ues,crops\AD435B.avi\ues\event_016_leave_ues_frame_1494_ues.jpg,True,metadata_exact,input
1607,before_onset,crops\AD435B.avi\ues\event_006_before_onset_frame_1607_ues.jpg,True,metadata_exact,input
1621,touch_ues,crops\AD435B.avi\ues\event_028_touch_ues_frame_1621_ues.jpg,True,metadata_exact,input
1645,leave_ues,crops\AD435B.avi\ues\event_017_leave_ues_frame_1645_ues.jpg,True,metadata_exact,input
2068,before_onset,crops\AD435B.avi\ues\event_007_before_onset_frame_2068_ues.jpg,True,metadata_exact,input
2079,touch_ues,crops\AD435B.avi\ues\event_029_touch_ues_frame_2079_ues.jpg,True,metadata_exact,input
2090,leave_ues,crops\AD435B.avi\ues\event_018_leave_ues_frame_2090_ues.jpg,True,metadata_exact,input
2317,before_onset,crops\AD435B.avi\ues\event_008_before_onset_frame_2317_ues.jpg,True,metadata_exact,input
2331,touch_ues,crops\AD435B.avi\ues\event_030_touch_ues_frame_2331_ues.jpg,True,metadata_exact,input
2348,leave_ues,crops\AD435B.avi\ues\event_019_leave_ues_frame_2348_ues.jpg,True,metadata_exact,input
2459,before_onset,crops\AD435B.avi\ues\event_009_before_onset_frame_2459_ues.jpg,True,metadata_exact,input
2473,touch_ues,crops\AD435B.avi\ues\event_031_touch_ues_frame_2473_ues.jpg,True,metadata_exact,input
2491,leave_ues,crops\AD435B.avi\ues\event_020_leave_ues_frame_2491_ues.jpg,True,metadata_exact,input
2941,before_onset,crops\AD435B.avi\ues\event_010_before_onset_frame_2941_ues.jpg,True,metadata_exact,input
2965,touch_ues,crops\AD435B.avi\ues\event_032_touch_ues_frame_2965_ues.jpg,True,metadata_exact,input
2985,leave_ues,crops\AD435B.avi\ues\event_021_leave_ues_frame_2985_ues.jpg,True,metadata_exact,input
