import time: self [us] | cumulative | imported package
import time:       134 |        134 |   _io
import time:        28 |         28 |   marshal
import time:       112 |        112 |   nt
import time:        54 |         54 |   winreg
import time:       471 |        797 | _frozen_importlib_external
import time:       398 |        398 |   time
import time:       199 |        596 | zipimport
import time:       127 |        127 |     _codecs
import time:       816 |        943 |   codecs
import time:       759 |        759 |   encodings.aliases
import time:      1356 |       3057 | encodings
import time:       430 |        430 | encodings.utf_8
import time:      1115 |       1115 | encodings.cp1252
import time:        64 |         64 | _signal
import time:        31 |         31 |     _abc
import time:       514 |        544 |   abc
import time:       632 |       1176 | io
import time:        68 |         68 |       _stat
import time:       449 |        516 |     stat
import time:       973 |        973 |     _collections_abc
import time:       447 |        447 |       genericpath
import time:       127 |        127 |       _winapi
import time:       712 |       1285 |     ntpath
import time:       725 |       3498 |   os
import time:       469 |        469 |   _sitebuiltins
import time:      2363 |       2363 |   _distutils_hack
import time:       640 |        640 |   sitecustomize
import time:      2389 |       9358 | site
import time:       985 |        985 |   warnings
import time:       542 |        542 |       types
import time:        96 |         96 |         itertools
import time:       450 |        450 |         keyword
import time:        66 |         66 |           _operator
import time:       860 |        926 |         operator
import time:       476 |        476 |         reprlib
import time:        53 |         53 |         _collections
import time:       994 |       2993 |       collections
import time:        32 |         32 |         _opcode
import time:       531 |        562 |       opcode
import time:      1076 |       5172 |     dis
import time:       537 |        537 |       importlib
import time:        22 |        559 |     importlib._bootstrap_external
import time:       491 |        491 |     importlib.machinery
import time:       791 |       7011 |   modulefinder
import time:        52 |         52 |     math
import time:       806 |        806 |         enum
import time:        63 |         63 |           _sre
import time:       645 |        645 |             sre_constants
import time:       752 |       1396 |           sre_parse
import time:       626 |       2084 |         sre_compile
import time:        67 |         67 |           _functools
import time:       995 |       1061 |         functools
import time:        78 |         78 |         _locale
import time:       528 |        528 |         copyreg
import time:       707 |       5262 |       re
import time:        64 |         64 |         errno
import time:       745 |        745 |         signal
import time:       646 |        646 |           _weakrefset
import time:       925 |       1570 |         threading
import time:       762 |        762 |         contextlib
import time:       369 |        369 |         fcntl
import time:        41 |         41 |         msvcrt
import time:      1009 |       4559 |       subprocess
import time:      1957 |      11777 |     platform
import time:      1130 |       1130 |     textwrap
import time:      3216 |       3216 |       _ctypes
import time:        65 |         65 |         _struct
import time:       500 |        565 |       struct
import time:       888 |        888 |       ctypes._endian
import time:      1180 |       5848 |     ctypes
import time:       613 |        613 |         _ast
import time:      1322 |       1934 |       ast
import time:       583 |        583 |       collections.abc
import time:       478 |        478 |           token
import time:      1274 |       1751 |         tokenize
import time:       458 |       2209 |       linecache
import time:      1626 |       6350 |     inspect
import time:      1268 |       1268 |       traceback
import time:      1945 |       1945 |       typing
import time:      2230 |       5442 |     torch._utils
import time:       474 |        474 |             posixpath
import time:       428 |        902 |           fnmatch
import time:        58 |         58 |           zlib
import time:       599 |        599 |             _compression
import time:       921 |        921 |             _bz2
import time:       534 |       2053 |           bz2
import time:       986 |        986 |             _lzma
import time:       700 |       1686 |           lzma
import time:       866 |       5562 |         shutil
import time:        40 |         40 |             _bisect
import time:       509 |        549 |           bisect
import time:        32 |         32 |           _random
import time:        28 |         28 |           _sha512
import time:       768 |       1376 |         random
import time:       638 |        638 |         weakref
import time:       683 |       8258 |       tempfile
import time:       305 |       8563 |     torch._utils_internal
import time:       229 |        229 |       torch.version
import time:       302 |        531 |     torch.torch_version
import time:       575 |        575 |     glob
import time:      3087 |       3087 |       _socket
import time:       769 |        769 |         select
import time:      1227 |       1996 |       selectors
import time:      2670 |       7753 |     socket
import time:       902 |        902 |             numpy._utils._convertions
import time:       946 |       1847 |           numpy._utils
import time:       746 |       2593 |         numpy._globals
import time:       508 |        508 |         numpy.exceptions
import time:       325 |        325 |         numpy.version
import time:        95 |         95 |           numpy._distributor_init_local
import time:       351 |        445 |         numpy._distributor_init
import time:       432 |        432 |                   numpy._utils._inspect
import time:        87 |         87 |                       _datetime
import time:      1361 |       1448 |                     datetime
import time:       414 |        414 |                     numpy.core._exceptions
import time:       279 |        279 |                     numpy.dtypes
import time:      4030 |       6170 |                   numpy.core._multiarray_umath
import time:       502 |       7104 |                 numpy.core.overrides
import time:       960 |       8063 |               numpy.core.multiarray
import time:       395 |        395 |               numpy.core.umath
