epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,469.746,2.06683,2.99784,1.86269,0.50058,0.61379,0.5287,0.18091,2.07531,2.26196,1.99434,0.000553094,0.000553094,0.000553094
2,928.641,1.68342,2.06076,1.57862,0.61997,0.67217,0.69917,0.29637,1.60173,2.1273,1.60178,0.00107217,0.00107217,0.00107217
3,1391.06,1.64299,1.7836,1.60918,0.63037,0.68129,0.70446,0.2974,1.60995,1.70861,1.77913,0.00155458,0.00155458,0.00155458
4,1837.77,1.63134,1.68476,1.60412,0.68787,0.7482,0.76835,0.32504,1.54451,1.74821,1.6132,0.00150197,0.00150197,0.00150197
5,2321.72,1.59141,1.63263,1.56177,0.77904,0.75513,0.82488,0.39247,1.41447,1.54436,1.58475,0.00144696,0.00144696,0.00144696
6,2853.36,1.52954,1.56876,1.50948,0.80963,0.74584,0.81726,0.39085,1.5352,1.49274,1.72699,0.00139195,0.00139195,0.00139195
7,3386.81,1.53757,1.55005,1.51687,0.74126,0.71942,0.77509,0.35509,1.4742,1.63937,1.5787,0.00133693,0.00133693,0.00133693
8,3919.35,1.51485,1.49176,1.50773,0.86474,0.85432,0.88098,0.41965,1.39413,1.49239,1.56961,0.00128192,0.00128192,0.00128192
9,4451.77,1.5028,1.50517,1.49487,0.77032,0.80616,0.86085,0.39964,1.47786,1.50178,1.59672,0.00122691,0.00122691,0.00122691
10,4983.07,1.4549,1.46227,1.46072,0.78516,0.80607,0.8434,0.39442,1.48902,1.40549,1.63509,0.0011719,0.0011719,0.0011719
11,5514.94,1.4537,1.46705,1.4571,0.8456,0.78237,0.85995,0.40004,1.44593,1.44703,1.58138,0.00111689,0.00111689,0.00111689
12,6044.66,1.46559,1.41947,1.44313,0.76053,0.80396,0.81142,0.37734,1.46508,1.43403,1.5714,0.00106188,0.00106188,0.00106188
13,6571.79,1.4375,1.38108,1.43238,0.82591,0.82014,0.84313,0.38623,1.64451,1.3398,1.71467,0.00100687,0.00100687,0.00100687
14,7099.78,1.41606,1.42212,1.43147,0.80392,0.80899,0.8574,0.39353,1.57929,1.38748,1.65623,0.000951857,0.000951857,0.000951857
15,7627.18,1.40495,1.38556,1.40747,0.78137,0.75521,0.83799,0.3939,1.59644,1.35217,1.68582,0.000896846,0.000896846,0.000896846
16,8155.15,1.38427,1.40125,1.40854,0.85363,0.79254,0.87801,0.43304,1.39745,1.4081,1.56514,0.000841835,0.000841835,0.000841835
17,8683.31,1.3854,1.36407,1.40599,0.8563,0.81138,0.87205,0.43086,1.40329,1.41541,1.57181,0.000786824,0.000786824,0.000786824
18,9211.52,1.39289,1.40439,1.42845,0.78999,0.77825,0.85486,0.40819,1.44857,1.4158,1.60378,0.000731813,0.000731813,0.000731813
19,9741.43,1.34893,1.34764,1.38779,0.8399,0.84277,0.88531,0.41673,1.42042,1.40074,1.58695,0.000676802,0.000676802,0.000676802
20,10269.1,1.37029,1.35036,1.39828,0.84371,0.80318,0.86852,0.43579,1.31441,1.42841,1.51596,0.000621791,0.000621791,0.000621791
21,10794.4,1.29065,1.33388,1.44375,0.85497,0.8394,0.86899,0.43129,1.41529,1.38276,1.57498,0.00056678,0.00056678,0.00056678
22,11319.5,1.28101,1.30758,1.43007,0.87602,0.82914,0.86978,0.40886,1.46944,1.37935,1.56882,0.000511769,0.000511769,0.000511769
23,11825.3,1.26998,1.2747,1.43504,0.85633,0.85281,0.89482,0.44494,1.37667,1.32263,1.55223,0.000456758,0.000456758,0.000456758
24,12277.9,1.26511,1.26379,1.44552,0.85317,0.83633,0.87066,0.41541,1.50459,1.32047,1.65229,0.000401747,0.000401747,0.000401747
25,12731.4,1.25247,1.25954,1.41963,0.86111,0.82194,0.874,0.3881,1.7099,1.31167,1.7877,0.000346736,0.000346736,0.000346736
26,13184,1.25756,1.23884,1.43845,0.85051,0.82993,0.86048,0.42005,1.44924,1.31962,1.60394,0.000291725,0.000291725,0.000291725
27,13637.5,1.24128,1.21316,1.42566,0.88161,0.85874,0.88642,0.43036,1.51328,1.28455,1.63104,0.000236714,0.000236714,0.000236714
28,14091.6,1.23239,1.19454,1.39757,0.87388,0.84841,0.87617,0.42993,1.49065,1.28004,1.63081,0.000181703,0.000181703,0.000181703
29,14543.5,1.2189,1.18283,1.39957,0.88676,0.85524,0.88582,0.42997,1.523,1.27375,1.65835,0.000126692,0.000126692,0.000126692
30,14995.9,1.21448,1.16565,1.39488,0.87314,0.86171,0.89176,0.42076,1.59962,1.25996,1.69962,7.1681e-05,7.1681e-05,7.1681e-05
